movie_id,director,producer,actor_1,actor_2,actor_3
19995,James Cameron,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver
285,Gore Verbinski,Jerry Bruckheimer,Johnny Depp,Orlando Bloom,Keira Knightley
206647,Sam Mendes,Barbara Broccoli,Daniel Craig,Christoph Waltz,Léa Seydoux
49026,Christopher Nolan,Charles Roven,Christian Bale,Michael Caine,Gary Oldman
49529,Andrew Stanton,Colin Wilson,Taylor Kitsch,Lynn Collins,Samantha Morton
559,Sam Raimi,Avi Arad,Tobey Maguire,Kirsten Dunst,James Franco
38757,Byron Howard,Roy Conli,Zachary Levi,Mandy Moore,Donna Murphy
99861,Joss Whedon,Kevin Feige,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
767,David Yates,David Heyman,Daniel Radcliffe,Rupert Grint,Emma Watson
209112,Zack Snyder,Charles Roven,Ben Affleck,Henry Cavill,Gal Gadot
1452,Bryan Singer,Jon Peters,Brandon Routh,Kevin Spacey,Kate Bosworth
10764,Marc Forster,Barbara Broccoli,Daniel Craig,Olga Kurylenko,Mathieu Amalric
58,Gore Verbinski,Jerry Bruckheimer,Johnny Depp,Orlando Bloom,Keira Knightley
57201,Gore Verbinski,Jerry Bruckheimer,Johnny Depp,Armie Hammer,William Fichtner
49521,Zack Snyder,Charles Roven,Henry Cavill,Amy Adams,Michael Shannon
2454,Andrew Adamson,Mark Johnson,Ben Barnes,William Moseley,Anna Popplewell
24428,Joss Whedon,Kevin Feige,Robert Downey Jr.,Chris Evans,Mark Ruffalo
1865,Rob Marshall,Jerry Bruckheimer,Johnny Depp,Penélope Cruz,Ian McShane
41154,Barry Sonnenfeld,Walter F. Parkes,Will Smith,Tommy Lee Jones,Josh Brolin
122917,Peter Jackson,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage
1930,Marc Webb,Avi Arad,Andrew Garfield,Emma Stone,Rhys Ifans
20662,Ridley Scott,Brian Grazer,Russell Crowe,Cate Blanchett,Max von Sydow
57158,Peter Jackson,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage
2268,Chris Weitz,Bill Carraro,Dakota Blue Richards,Nicole Kidman,Daniel Craig
254,Peter Jackson,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody
597,James Cameron,James Cameron,Kate Winslet,Leonardo DiCaprio,Frances Fisher
271110,Anthony Russo,Kevin Feige,Chris Evans,Robert Downey Jr.,Scarlett Johansson
44833,Peter Berg,Duncan Henderson,Taylor Kitsch,Alexander Skarsgård,Rihanna
135397,Colin Trevorrow,Frank Marshall,Chris Pratt,Bryce Dallas Howard,Irrfan Khan
37724,Sam Mendes,Barbara Broccoli,Daniel Craig,Judi Dench,Javier Bardem
558,Sam Raimi,Avi Arad,Tobey Maguire,Kirsten Dunst,James Franco
68721,Shane Black,Kevin Feige,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle
12155,Tim Burton,Jennifer Todd,Mia Wasikowska,Johnny Depp,Anne Hathaway
36668,Brett Ratner,Ralph Winter,Hugh Jackman,Halle Berry,Ian McKellen
62211,Dan Scanlon,Kori Rae,Billy Crystal,John Goodman,Steve Buscemi
8373,Michael Bay,Don Murphy,Shia LaBeouf,Megan Fox,Josh Duhamel
91314,Michael Bay,Don Murphy,Mark Wahlberg,Stanley Tucci,Kelsey Grammer
68728,Sam Raimi,Joe Roth,James Franco,Mila Kunis,Rachel Weisz
102382,Marc Webb,Avi Arad,Andrew Garfield,Emma Stone,Jamie Foxx
20526,Joseph Kosinski,Steven Lisberger,Garrett Hedlund,Jeff Bridges,Olivia Wilde
49013,John Lasseter,Denise Ream,Owen Wilson,Larry the Cable Guy,Michael Caine
44912,Martin Campbell,Donald De Line,Ryan Reynolds,Blake Lively,Peter Sarsgaard
10193,Lee Unkrich,Darla K. Anderson,Tom Hanks,Tim Allen,Ned Beatty
534,McG,Moritz Borman,Christian Bale,Sam Worthington,Anton Yelchin
168259,James Wan,Michael Fottrell,Vin Diesel,Paul Walker,Dwayne Johnson
72190,Marc Forster,Brad Pitt,Brad Pitt,Mireille Enos,Abigail Hargrove
127585,Bryan Singer,Lauren Shuler Donner,Hugh Jackman,James McAvoy,Michael Fassbender
54138,J.J. Abrams,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana
81005,Bryan Singer,David Dobkin,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor
64682,Baz Luhrmann,Baz Luhrmann,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan
9543,Mike Newell,Jerry Bruckheimer,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley
68726,Guillermo del Toro,Guillermo del Toro,Idris Elba,Charlie Hunnam,Charlie Day
38356,Michael Bay,Don Murphy,Shia LaBeouf,John Malkovich,Ken Jeong
