movie_id,title,original_language,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres,keywords,production_companies,production_countries
19995,Avatar,en,2009-12-10,237000000,2787965087,162,7.2,11800,150.437577,Action|Adventure|Fantasy|Science Fiction,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,United States of America|United Kingdom
285,Pirates of the Caribbean: At World's End,en,2007-05-19,300000000,961e6,169,6.9,4500,139.082615,Adventure|Fantasy|Action,ocean|drug abuse|exotic island|east india trading company|love of one's life|traitor|shipwreck|strong woman|ship|alliance|calypso|afterlife|fighter|pirate|swashbuckler|aftercreditsstinger,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,United States of America
206647,Spectre,en,2015-10-26,245000000,880674609,148,6.3,4466,107.376788,Action|Adventure|Crime,spy|based on novel|secret agent|sequel|mi6|british secret service|united kingdom,Columbia Pictures|Danjaq|B24,United Kingdom|United States of America
49026,The Dark Knight Rises,en,2012-07-16,250000000,1084939099,165,7.6,9106,112.31295,Action|Crime|Drama|Thriller,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|time bomb|gotham city|vigilante|cover-up|superhero|villainess|tragic hero|terrorism|destruction|catwoman|cat burglar|imax|flood|criminal underworld|batman,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,United States of America
49529,John Carter,en,2012-03-07,260000000,284139100,132,6.1,2124,43.926995,Action|Adventure|Science Fiction,based on novel|mars|medallion|space travel|princess|alien|steampunk|martian|escape|edgar rice burroughs|alien race|superhuman strength|mars civilization|sword and planet|19th century|3d,Walt Disney Pictures,United States of America
559,Spider-Man 3,en,2007-05-01,258000000,890871626,139,5.9,3576,115.699814,Fantasy|Action|Adventure,dual identity|amnesia|sandstorm|love of one's life|forgiveness|spider|wretch|death of a friend|egomania|sand|narcism|hostility|marvel comic|sequel|superhero|revenge,Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,United States of America
38757,Tangled,en,2010-11-24,260000000,591794936,100,7.4,3330,48.681969,Animation|Family,hostage|magic|horse|fairy tale|musical|princess|animation|tower|blonde woman|selfishness|healing power|based on fairy tale|duringcreditsstinger|healing gift|animal sidekick,Walt Disney Pictures|Walt Disney Animation Studios,United States of America
99861,Avengers: Age of Ultron,en,2015-04-22,280000000,1405403694,141,7.3,6767,134.279229,Action|Adventure|Science Fiction,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,Marvel Studios|Prime Focus|Revolution Sun Studios,United States of America
767,Harry Potter and the Half-Blood Prince,en,2009-07-07,250000000,933959197,153,7.4,5293,98.885637,Adventure|Fantasy|Family,witch|magic|broom|school of witchcraft|wizardry|apparition|teenage crush|werewolf,Warner Bros.|Heyday Films,United Kingdom|United States of America
209112,Batman v Superman: Dawn of Justice,en,2016-03-23,250000000,873260194,151,5.7,7004,155.790452,Action|Adventure|Fantasy,dc comics|vigilante|superhero|based on comic book|revenge|super powers|clark kent|bruce wayne|dc extended universe,DC Comics|Atlas Entertainment|Warner Bros.|DC Entertainment|Cruel & Unusual Films|RatPac-Dune Entertainment,United States of America
1452,Superman Returns,en,2006-06-28,270000000,391081192,154,5.4,1400,57.925623,Adventure|Fantasy|Action|Science Fiction,saving the world|dc comics|invulnerability|sequel|superhero|based on comic book|kryptonite|super powers|superhuman strength|lex luthor,DC Comics|Legendary Pictures|Warner Bros.|Bad Hat Harry Productions,United States of America
10764,Quantum of Solace,en,2008-10-30,200000000,586090727,106,6.1,2965,107.928811,Adventure|Action|Thriller|Crime,killing|undercover|secret agent|british secret service,Eon Productions,United Kingdom|United States of America
58,Pirates of the Caribbean: Dead Man's Chest,en,2006-06-20,200000000,1065659812,151,7,5246,145.847379,Adventure|Fantasy|Action,witch|fortune teller|bondage|exotic island|monster|captain|card game|east india trading company|compass|ship|daughter|pirate|swashbuckler|aftercreditsstinger,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,Jamaica|United States of America|Bahamas|Dominica
57201,The Lone Ranger,en,2013-07-03,255000000,89289910,149,5.9,2311,49.046956,Action|Adventure|Western,texas|horse|survivor|texas ranger|partner|outlaw|escape|lawyer|train|lone ranger|comanche|the lone ranger|tonto,Walt Disney Pictures|Jerry Bruckheimer Films|Infinitum Nihil|Silver Bullet Productions (II)|Blind Wink Productions|Classic Media,United States of America
49521,Man of Steel,en,2013-06-12,225000000,662845518,143,6.5,6359,99.398009,Action|Adventure|Fantasy|Science Fiction,saving the world|dc comics|superhero|based on comic book|superhuman|alien invasion|reboot|super powers|dc extended universe,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy|Cruel and Unusual Films,United Kingdom|United States of America
2454,The Chronicles of Narnia: Prince Caspian,en,2008-05-15,225000000,419651413,150,6.3,1630,53.978602,Adventure|Family|Fantasy,based on novel|fictional place|brother sister relationship|lion|human being|wretch|leap in time|matter of life and death|faith|uncle|narnia|fantasy world,Walt Disney|Walden Media|Stillking Films|Ozumi Films|Propeler|Silverbell Films|Revolution Sun Studios,Czech Republic|Poland|Slovenia|United States of America
24428,The Avengers,en,2012-04-25,220000000,1519557910,143,7.4,11776,144.448633,Science Fiction|Action|Adventure,new york|shield|marvel comic|superhero|based on comic book|alien invasion|superhero team|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,Paramount Pictures|Marvel Studios,United States of America
1865,Pirates of the Caribbean: On Stranger Tides,en,2011-05-14,380000000,1045713802,136,6.4,4948,135.413856,Adventure|Action|Fantasy,sea|captain|mutiny|sword|prime minister|sailing|silver|ship|duke|mermaid|pirate|soldier|battle|swashbuckler|aftercreditsstinger|3d,Walt Disney Pictures|Jerry Bruckheimer Films|Moving Picture Company (MPC),United States of America
41154,Men in Black 3,en,2012-05-23,225000000,624026776,106,6.2,4160,52.035179,Action|Comedy|Science Fiction,time travel|time machine|alien|fictional government agency|seeing the future|changing history,Amblin Entertainment|Media Magik Entertainment|Imagenation Abu Dhabi FZ|Hemisphere Media Capital|Parkes/MacDonald Productions,United States of America
